TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0056,AFN,69000,4/4/2025
ABI0056,USD,0,4/4/2025
ABI0057,AFN,81500,4/4/2025
ABI0067,AFN,64000,4/4/2025
ABI0071,AFN,22000,4/4/2025
ABI0073,AFN,1000,4/4/2025
ABI0075,AFN,9000,4/4/2025
ABI0080,AFN,115000,4/4/2025
ABI0081,AFN,122500,4/4/2025
ABI0081,USD,0,4/4/2025
ABI0082,AFN,43000,4/4/2025
ABI0086,AFN,42000,4/4/2025
ABI0087,AFN,201000,4/4/2025
ABI0087,USD,0,4/4/2025
ABI0090,AFN,5000,4/4/2025
ABI0092,AFN,31000,4/4/2025
ABI0093,AFN,68500,4/4/2025
ABI0093,USD,0,4/4/2025
ABI0096,AFN,86000,4/4/2025
ABI0098,AFN,183500,4/4/2025
ABI0099,AFN,140000,4/4/2025
ABI0099,USD,0,4/4/2025
ABI0100,AFN,243500,4/4/2025
ABI0100,USD,1000,4/4/2025
ABI0101,AFN,0,4/4/2025
ABI0101,USD,2300,4/4/2025
ABI0103,AFN,99000,4/4/2025
ABI0105,AFN,167500,4/4/2025
ABI0105,USD,0,4/4/2025
ABI0109,AFN,12500,4/4/2025
ABI0110,AFN,42000,4/4/2025
ABI0110,USD,0,4/4/2025
ABI0111,AFN,35500,4/4/2025
ABI0111,USD,0,4/4/2025
ABI0115,AFN,5000,4/4/2025
ABI0116,AFN,135500,4/4/2025
ABI0116,USD,0,4/4/2025
ABI0119,AFN,25000,4/4/2025
ABI0120,AFN,5000,4/4/2025
ABI0121,AFN,126500,4/4/2025
ABI0121,USD,0,4/4/2025
ABI0123,AFN,35000,4/4/2025
ABI0123,USD,1000,4/4/2025
ABI0125,AFN,44000,4/4/2025
ABI0004,AFN,493000,4/5/2025
ABI0004,USD,0,4/5/2025
ABI0007,AFN,500,4/5/2025
ABI0010,AFN,124500,4/5/2025
ABI0010,USD,0,4/5/2025
ABI0011,AFN,38000,4/5/2025
ABI0019,AFN,458000,4/5/2025
ABI0019,USD,0,4/5/2025
ABI0021,AFN,948000,4/5/2025
ABI0021,USD,0,4/5/2025
ABI0026,AFN,10000,4/5/2025
ABI0029,AFN,10000,4/5/2025
ABI0030,AFN,89000,4/5/2025
ABI0031,AFN,431000,4/5/2025
ABI0032,AFN,70000,4/5/2025
ABI0032,USD,0,4/5/2025
ABI0034,AFN,17000,4/5/2025
ABI0034,USD,300,4/5/2025
ABI0040,USD,4500,4/5/2025
ABI0041,AFN,87000,4/5/2025
ABI0042,AFN,54000,4/5/2025
ABI0043,AFN,500,4/5/2025
ABI0043,USD,2500,4/5/2025
ABI0044,AFN,261500,4/5/2025
ABI0044,USD,0,4/5/2025
ABI0046,AFN,15000,4/5/2025
ABI0047,AFN,78500,4/5/2025
ABI0049,AFN,452500,4/5/2025
ABI0049,USD,0,4/5/2025
ABI0053,AFN,233500,4/5/2025
ABI0053,USD,0,4/5/2025
ABI0055,AFN,168500,4/5/2025
ABI0055,USD,0,4/5/2025
ABI0056,AFN,130000,4/5/2025
ABI0056,USD,0,4/5/2025
ABI0057,AFN,544500,4/5/2025
ABI0057,USD,0,4/5/2025
ABI0063,AFN,89500,4/5/2025
ABI0063,USD,0,4/5/2025
ABI0067,AFN,56500,4/5/2025
ABI0071,AFN,37500,4/5/2025
ABI0075,AFN,30500,4/5/2025
ABI0080,AFN,239000,4/5/2025
ABI0081,AFN,96000,4/5/2025
ABI0081,USD,0,4/5/2025
ABI0082,AFN,231500,4/5/2025
ABI0082,USD,0,4/5/2025
ABI0086,AFN,79500,4/5/2025
ABI0087,AFN,165000,4/5/2025
ABI0087,USD,0,4/5/2025
ABI0090,USD,550,4/5/2025
ABI0093,AFN,67500,4/5/2025
ABI0093,USD,0,4/5/2025
ABI0096,AFN,23500,4/5/2025
ABI0098,AFN,316000,4/5/2025
ABI0099,AFN,98000,4/5/2025
ABI0100,AFN,175000,4/5/2025
ABI0100,USD,1600,4/5/2025
ABI0101,USD,300,4/5/2025
ABI0103,AFN,169500,4/5/2025
ABI0105,AFN,322000,4/5/2025
ABI0109,AFN,24000,4/5/2025
ABI0110,AFN,29000,4/5/2025
ABI0111,AFN,135000,4/5/2025
ABI0111,USD,0,4/5/2025
ABI0113,AFN,128500,4/5/2025
ABI0113,USD,2500,4/5/2025
ABI0114,AFN,83000,4/5/2025
ABI0115,AFN,11000,4/5/2025
ABI0116,AFN,197000,4/5/2025
ABI0116,USD,0,4/5/2025
ABI0119,AFN,171000,4/5/2025
ABI0119,USD,0,4/5/2025
ABI0120,AFN,17000,4/5/2025
ABI0121,AFN,224000,4/5/2025
ABI0121,USD,0,4/5/2025
ABI0123,AFN,200000,4/5/2025
ABI0123,USD,1200,4/5/2025
ABI0125,AFN,8500,4/5/2025
ABI0004,AFN,448500,4/6/2025
ABI0004,USD,0,4/6/2025
ABI0007,AFN,1500,4/6/2025
ABI0010,AFN,168000,4/6/2025
ABI0010,USD,0,4/6/2025
ABI0019,AFN,432500,4/6/2025
ABI0021,AFN,966500,4/6/2025
ABI0021,USD,0,4/6/2025
ABI0026,AFN,37000,4/6/2025
ABI0030,AFN,96000,4/6/2025
ABI0031,AFN,133000,4/6/2025
ABI0032,AFN,42500,4/6/2025
ABI0034,USD,1400,4/6/2025
ABI0040,AFN,30000,4/6/2025
ABI0040,USD,11400,4/6/2025
ABI0041,AFN,76000,4/6/2025
ABI0042,AFN,213500,4/6/2025
ABI0042,USD,0,4/6/2025
ABI0043,AFN,8500,4/6/2025
ABI0043,USD,11500,4/6/2025
ABI0044,AFN,370000,4/6/2025
ABI0044,USD,0,4/6/2025
ABI0046,AFN,34500,4/6/2025
ABI0046,USD,100,4/6/2025
ABI0047,AFN,174500,4/6/2025
ABI0049,AFN,301000,4/6/2025
ABI0051,USD,300,4/6/2025
ABI0053,AFN,275500,4/6/2025
ABI0053,USD,0,4/6/2025
ABI0055,AFN,246500,4/6/2025
ABI0055,USD,0,4/6/2025
ABI0056,AFN,167500,4/6/2025
ABI0056,USD,0,4/6/2025
ABI0057,AFN,971500,4/6/2025
ABI0057,USD,0,4/6/2025
ABI0063,AFN,22500,4/6/2025
ABI0067,AFN,102500,4/6/2025
ABI0071,AFN,46000,4/6/2025
ABI0075,AFN,51500,4/6/2025
ABI0080,AFN,54000,4/6/2025
ABI0081,AFN,174000,4/6/2025
ABI0081,USD,0,4/6/2025
ABI0082,AFN,229000,4/6/2025
ABI0086,AFN,10000,4/6/2025
ABI0087,AFN,156500,4/6/2025
ABI0087,USD,0,4/6/2025
ABI0090,USD,1000,4/6/2025
ABI0092,AFN,60000,4/6/2025
ABI0093,AFN,102000,4/6/2025
ABI0096,AFN,36000,4/6/2025
